Strain,CRISPRi_system,Inducers,name,od_rel_WT,mu_rel_WT
MG1655,Fn,0,"pSR2022, 0 ng/mL aTc",0.9075203252032519,0.938950572582454
MG1655,Fn,0.25,"pSR2022, 0.25 ng/mL aTc",0.9166666666666665,0.9467459684264764
MG1655,Fn,2,"pSR2022, 2 ng/mL aTc",0.36585365853658536,0.5259057580809038
MG1655,Fn,4,"pSR2022, 4 ng/mL aTc",0.34349593495934955,0.3166794557190399
MG1655,Fn,WT,WT,1,1
MG1655,Lb,0,"pSR2032, 0 ng/mL aTc",0.928861788617886,0.9025334177119478
MG1655,Lb,0.25,"pSR2032, 0.25 ng/mL aTc",0.9146341463414633,0.8739547375503999
MG1655,Lb,2,"pSR2032, 2 ng/mL aTc",0.44613821138211374,0.5474978504684517
MG1655,Lb,4,"pSR2032, 4 ng/mL aTc",0.4085365853658537,0.5100130164134447
MG1655,Lb,WT,WT,1,1
MG1655,Sp,0,"pSR2017, 0 ng/mL aTc",0.9166666666666665,0.9171509197253299
MG1655,Sp,0.25,"pSR2017, 0.25 ng/mL aTc",0.9065040650406504,0.8846228690324184
MG1655,Sp,2,"pSR2017, 2 ng/mL aTc",0.4512195121951219,0.3606728266830383
MG1655,Sp,4,"pSR2017, 4 ng/mL aTc",0.38109756097560976,0.2631975093991794
MG1655,Sp,WT,WT,1,1
EcN,Fn,0,"pSR2022, 0 ng/mL aTc",1.0522388059701493,1.0525395741367547
EcN,Fn,0.25,"pSR2022, 0.25 ng/mL aTc",1.0382462686567164,0.9518047678238503
EcN,Fn,2,"pSR2022, 2 ng/mL aTc",0.7416044776119404,0.685070435627851
EcN,Fn,4,"pSR2022, 4 ng/mL aTc",0.7136194029850746,0.6767848119079736
EcN,Fn,WT,WT,1,1
EcN,Lb,0,"pSR2032, 0 ng/mL aTc",1.0401119402985073,1.0333363766615795
EcN,Lb,0.25,"pSR2032, 0.25 ng/mL aTc",1.0447761194029852,1.0308929390483614
EcN,Lb,2,"pSR2032, 2 ng/mL aTc",0.8768656716417911,0.8503035715192299
EcN,Lb,4,"pSR2032, 4 ng/mL aTc",0.8227611940298507,0.8103750869515286
EcN,Lb,WT,WT,1,1
EcN,Sp,0,"pSR2017, 0 ng/mL aTc",1.0578358208955223,1.0131029830440026
EcN,Sp,0.25,"pSR2017, 0.25 ng/mL aTc",1.0494402985074627,0.9490665383744447
EcN,Sp,2,"pSR2017, 2 ng/mL aTc",0.7621268656716418,0.7962498660910615
EcN,Sp,4,"pSR2017, 4 ng/mL aTc",0.7145522388059702,0.7829863362225845
EcN,Sp,WT,WT,1,1
CFT073,Fn,0,"pSR2022, 0 ng/mL aTc",1.033050847457627,1.0153962349165242
CFT073,Fn,0.25,"pSR2022, 0.25 ng/mL aTc",1.0237288135593219,1.0253901419870366
CFT073,Fn,2,"pSR2022, 2 ng/mL aTc",0.5813559322033898,0.47137076725367855
CFT073,Fn,4,"pSR2022, 4 ng/mL aTc",0.5449152542372881,0.43885095701312565
CFT073,Fn,WT,WT,1,1
CFT073,Lb,0,"pSR2032, 0 ng/mL aTc",0.9805084745762711,0.9513599330404374
CFT073,Lb,0.25,"pSR2032, 0.25 ng/mL aTc",0.9966101694915254,0.9551048162998854
CFT073,Lb,2,"pSR2032, 2 ng/mL aTc",0.7474576271186439,0.694219386249771
CFT073,Lb,4,"pSR2032, 4 ng/mL aTc",0.697457627118644,0.6646265070101741
CFT073,Lb,WT,WT,1,1
CFT073,Sp,0,"pSR2017, 0 ng/mL aTc",1.011864406779661,1.0178360768077408
CFT073,Sp,0.25,"pSR2017, 0.25 ng/mL aTc",0.9771186440677966,0.9867348618696767
CFT073,Sp,2,"pSR2017, 2 ng/mL aTc",0.5533898305084746,0.4630888052325439
CFT073,Sp,4,"pSR2017, 4 ng/mL aTc",0.5364406779661016,0.446728815534294
CFT073,Sp,WT,WT,1,1
UMN026,Fn,0,"pSR2022, 0 ng/mL aTc",0.9862490450725745,1.0197111739339304
UMN026,Fn,0.25,"pSR2022, 0.25 ng/mL aTc",0.9709702062643238,0.9859524699314276
UMN026,Fn,2,"pSR2022, 2 ng/mL aTc",0.6363636363636364,0.92596975141044
UMN026,Fn,4,"pSR2022, 4 ng/mL aTc",0.47211611917494267,0.9071412485964799
UMN026,Fn,WT,WT,1,1
UMN026,Lb,0,"pSR2032, 0 ng/mL aTc",0.9778456837280366,1.0249227111606558
UMN026,Lb,0.25,"pSR2032, 0.25 ng/mL aTc",0.9854851031321619,1.0384795981133328
UMN026,Lb,2,"pSR2032, 2 ng/mL aTc",0.8502673796791443,1.0670018238716605
UMN026,Lb,4,"pSR2032, 4 ng/mL aTc",0.7715813598166539,0.9247674822438943
UMN026,Lb,WT,WT,1,1
UMN026,Sp,0,"pSR2017, 0 ng/mL aTc",0.612681436210848,0.6926170820021165
UMN026,Sp,0.25,"pSR2017, 0.25 ng/mL aTc",0.6065699006875477,0.6913085577268384
UMN026,Sp,2,"pSR2017, 2 ng/mL aTc",0.2291825821237586,0.25500492777911443
UMN026,Sp,4,"pSR2017, 4 ng/mL aTc",0.2108479755538579,0.1692124803083279
UMN026,Sp,WT,WT,1,1
